id,nombre,descripcion,rol o roles,reglas de negocio,criterios de aceptacion,prioridad,casos de uso asociados
FR-021,Recepción de mercancía contra orden de compra o remisión,"El sistema debe registrar el ingreso físico de mercancía comparando lo recibido contra la orden de compra, remisión o documento soporte.",Auxiliar de bodega; Compras; Calidad,"Debe soportar recepción total, parcial, sobrantes, faltantes y rechazo; todo ingreso debe quedar asociado a una bodega, ubicación y documento fuente.",El usuario registra cantidades recibidas y diferencias; el sistema actualiza stock solo por cantidades aceptadas; las diferencias quedan visibles para conciliación.,Alta,UC-21 Recibir mercancía
FR-022,"Captura obligatoria de lote, vencimiento y temperatura en ingresos","El sistema debe exigir en el ingreso la captura de lote, fecha de producción o vencimiento, y temperatura del producto o vehículo cuando el SKU lo requiera.",Auxiliar de bodega; Calidad,La trazabilidad hacia atrás y hacia adelante debe quedar garantizada por lote; para cadena de frío se deben registrar y validar temperaturas; no se acepta producto perecedero sin identificación obligatoria.,"Un SKU con control por lote no puede ingresarse sin lote; si la temperatura está fuera de rango, el sistema genera excepción; el lote recibido queda disponible para trazabilidad inmediata.",Alta,UC-22 Registrar lote-vencimiento-temperatura
FR-023,Inspección de calidad e inocuidad en recepción,"El sistema debe permitir inspeccionar visual y documentalmente la mercancía recibida y decidir aceptación, cuarentena, rechazo o decomiso.",Calidad; Auxiliar de bodega; Jefe de inventarios,"La aceptación debe considerar empaque íntegro, temperatura, documentación y vida útil; producto rechazado o en cuarentena no debe ingresar a stock disponible.",Se registra un resultado de inspección por lote; la decisión cambia automáticamente el estado del inventario; el acta de inspección puede adjuntar evidencia fotográfica.,Alta,UC-23 Inspeccionar recepción; UC-43 Adjuntar soporte
FR-024,Costeo de entradas de inventario,"El sistema debe calcular el costo de entrada por lote o documento, incluyendo precio de compra, impuestos recuperables o no, fletes y otros cargos parametrizados.",Contabilidad; Compras; Jefe de inventarios,El método de valoración debe parametrizarse por compañía o bodega según política; los costos adicionales deben quedar trazables al documento fuente.,"El costo unitario se calcula y almacena al registrar la entrada; permite distribuir gastos adicionales por cantidad, peso o valor; el kardex muestra costo y valor total del ingreso.",Media,UC-24 Liquidar costo de entrada
FR-025,Devoluciones a proveedor,"El sistema debe generar devoluciones parciales o totales a proveedor por rechazo, vencimiento recibido, daño, diferencia o incumplimiento de especificación.",Compras; Calidad; Auxiliar de bodega; Contabilidad,La devolución debe referenciar el documento de ingreso y el lote afectado; el producto devuelto debe salir de stock disponible y quedar con destino definido.,"Se genera documento de devolución con motivo y cantidades; el stock se reversa correctamente; el historial muestra proveedor, lote, causa y soporte asociado.",Alta,UC-25 Devolver a proveedor
FR-026,"Inventario en tiempo real por bodega, ubicación y lote","El sistema debe mostrar existencias en tiempo real por producto, presentación, lote, fecha de vencimiento, estado, bodega y ubicación.",Jefe de inventarios; Auxiliar de bodega; Compras; Despacho; Gerencia,"El stock disponible debe diferenciarse del reservado, bloqueado, en tránsito y cuarentena; la consulta debe ser consistente con todos los movimientos confirmados.","Un movimiento confirmado actualiza existencias inmediatamente; la consulta permite filtros por bodega, lote y estado; el total por ubicaciones coincide con el total por bodega.",Alta,UC-26 Consultar stock
FR-027,Kardex y consulta histórica de movimientos,"El sistema debe generar kardex por producto y bodega con entradas, salidas, traslados, ajustes, devoluciones, costos y saldos.",Jefe de inventarios; Contabilidad; Auditor interno; Gerencia,"Todo movimiento debe tener documento, fecha, usuario, motivo y efecto en cantidad y valor; la consulta debe poder reconstruir la historia completa del lote.",El kardex filtra por rango de fechas y producto; cada línea muestra saldo anterior y saldo nuevo; el kardex exportado coincide con el saldo actual.,Alta,UC-27 Consultar kardex
FR-028,Movimientos internos entre ubicaciones,"El sistema debe permitir trasladar inventario entre ubicaciones de la misma bodega para reubicación, reabastecimiento, cuarentena o preparación de despacho.",Auxiliar de bodega; Jefe de inventarios,"El movimiento debe conservar lote, vencimiento, costo y estado; no se debe permitir enviar stock a una ubicación incompatible o inactiva.","Se registra origen, destino y cantidad; el stock disminuye en origen y aumenta en destino sin alterar el total de bodega; los movimientos quedan visibles en el kardex.",Alta,UC-28 Trasladar entre ubicaciones
FR-029,Traslado interbodega con tránsito y confirmación de recibo,"El sistema debe soportar solicitudes, aprobación, despacho, tránsito y recibo de traslados entre bodegas.",Jefe de inventarios; Supervisor logístico; Auxiliar de bodega; Calidad,"El traslado debe generar estado en tránsito hasta el recibo en destino; el destino puede aceptar total, parcial o rechazar por novedad; debe conservar cadena de custodia del lote.","El documento de traslado cambia de solicitado a despachado, en tránsito y recibido; el origen descuenta stock al despachar y el destino lo incorpora al recibir; las diferencias se registran y aprueban.",Alta,UC-29 Trasladar interbodega
FR-030,Reserva y compromiso de inventario,"El sistema debe reservar inventario para pedidos, traslados, campañas o compromisos internos sin descontarlo físicamente hasta el despacho.",Ventas/Despacho; Jefe de inventarios; Gerencia,"La reserva solo puede afectar stock disponible; debe tener vigencia, prioridad y posibilidad de liberación; el stock reservado no debe ofrecerse a otras órdenes incompatibles.",Se crea y libera una reserva; el disponible disminuye y el físico no cambia; el sistema evita sobre-reservar por encima del disponible.,Media,UC-30 Reservar inventario
FR-031,"Salidas de inventario por venta, consumo, traslado, merma o destrucción","El sistema debe registrar salidas de inventario con motivo estandarizado y documento soporte para ventas, consumos internos, traslados, mermas, decomisos o destrucciones.",Auxiliar de bodega; Despacho; Jefe de inventarios; Calidad,"Toda salida debe tener motivo, responsable y lote; no puede consumirse stock bloqueado o vencido para fines comerciales; mermas y destrucciones requieren causal y evidencia.",Se registra una salida con motivo válido; el saldo se descuenta del lote correcto; el historial permite distinguir salidas comerciales de pérdidas operativas.,Alta,UC-31 Registrar salida
FR-032,Alistamiento y despacho FEFO o PEPS,El sistema debe sugerir y controlar el picking de inventario según FEFO para perecederos o PEPS cuando no aplique vencimiento.,Despacho; Auxiliar de bodega; Jefe de inventarios,"No debe sugerir lotes vencidos, bloqueados o en cuarentena; para perecederos, el algoritmo debe priorizar fecha de vencimiento más próxima que cumpla vida útil mínima de despacho.","El sistema propone lotes elegibles en orden correcto; el usuario no puede confirmar despacho con lote vencido; si se fuerza otro lote, queda motivo y aprobación cuando aplique.",Alta,UC-32 Alistar pedido FEFO; UC-33 Despachar
FR-033,Validación sanitaria y logística del despacho,"El sistema debe validar antes del despacho el estado sanitario del producto, el vehículo, la ruta, la temperatura y la documentación requerida.",Despacho; Calidad; Supervisor logístico,Los productos refrigerados o congelados deben despacharse en medios aptos para cadena de frío; el despacho no puede liberarse si falta documento crítico o si el lote está no conforme.,Un despacho frío exige captura de medio de transporte y temperatura; el sistema bloquea despacho con incumplimientos críticos; la remisión o salida queda asociada al control realizado.,Alta,UC-33 Despachar
FR-034,Reingresos y devoluciones de clientes o rutas,"El sistema debe registrar devoluciones desde clientes, puntos de venta o rutas, con motivo, lote, estado del producto y disposición final.",Despacho; Auxiliar de bodega; Calidad; Contabilidad,Toda devolución debe ingresar primero a revisión o cuarentena; los productos vencidos o comprometidos sanitariamente no pueden volver a stock disponible y deben quedar en área exclusiva con libro de control.,Se registra una devolución con motivo y evidencia; el inventario reingresa a cuarentena o al estado definido por regla; se puede emitir nota de crédito o ajuste si aplica.,Alta,UC-34 Registrar devolución de cliente
FR-035,"Ajustes de inventario, merma y decomiso","El sistema debe permitir ajustes positivos y negativos por diferencias, averías, desposte, merma operativa, vencimiento, pérdida o decomiso.",Jefe de inventarios; Calidad; Contabilidad; Auditor interno,Los ajustes deben usar causales estandarizadas y aprobación según monto o riesgo; las mermas y decomisos deben quedar segregados de stock comercializable.,"El ajuste requiere motivo y usuario autorizado; los saldos cambian correctamente; el reporte de mermas consolida cantidades, costo y causa.",Alta,UC-35 Ajustar inventario
FR-036,Inventario físico general y conteo cíclico,"El sistema debe planear y ejecutar inventarios físicos generales o cíclicos por bodega, zona, categoría, producto o lote.",Jefe de inventarios; Auxiliar de bodega; Auditor interno,Durante el conteo se debe controlar el movimiento del stock según política; las tareas deben asignarse sin mostrar saldo teórico cuando se requiera conteo ciego.,Se crea un plan de conteo por alcance; los usuarios registran conteos por ubicación o lote; el sistema compara conteo físico vs teórico y calcula variación.,Alta,UC-36 Ejecutar conteo cíclico
FR-037,Aprobación de diferencias de conteo,El sistema debe someter a revisión y aprobación las diferencias encontradas en conteos físicos antes de afectar el stock oficial.,Jefe de inventarios; Gerencia; Auditor interno; Contabilidad,Las diferencias deben clasificarse por materialidad y causa probable; los ajustes resultantes deben quedar enlazados al acta de conteo y al aprobador.,El sistema genera propuesta de ajuste por diferencias; un aprobador autorizado confirma o rechaza cada diferencia; solo las aprobadas impactan el inventario oficial.,Alta,UC-37 Aprobar diferencias
FR-038,Gestión de vencimientos y alertas de rotación,"El sistema debe controlar fechas de vencimiento, vida útil restante y alertas por lotes próximos a vencer para facilitar FEFO, promociones o retiro preventivo.",Calidad; Jefe de inventarios; Despacho; Gerencia,"No debe permitirse venta de producto vencido; deben existir umbrales parametrizables para alerta temprana, bloqueo y disposición final según política.",El tablero identifica lotes próximos a vencer por rango de días; los lotes vencidos cambian a estado no comercializable según regla; se puede emitir listado de acción por bodega.,Alta,UC-38 Gestionar vencimientos
FR-039,"Cuarentena, bloqueos y no conformes","El sistema debe permitir bloquear lotes o inventario por sospecha sanitaria, daño, investigación, hallazgo de calidad o instrucción de autoridad.",Calidad; Jefe de inventarios; Auditor interno,"Un lote bloqueado debe quedar fuera de picking, despacho y traslados normales; el bloqueo debe registrar causa, alcance, fecha, responsable y criterio de liberación.","Se puede bloquear por producto, lote o ubicación; el sistema impide su uso comercial mientras esté bloqueado; la liberación exige permiso y deja trazabilidad.",Alta,UC-39 Bloquear lote
FR-040,Retiro de mercado o recall por lote,"El sistema debe permitir ejecutar retiros de mercado identificando dónde se recibió, almacenó, trasladó o despachó cada lote afectado y su estado de recuperación.",Calidad; Gerencia; Despacho; Jefe de inventarios,"La trazabilidad debe ser hacia atrás y hacia adelante por lote y documento; el sistema debe distinguir stock interno, en tránsito y ya despachado a clientes.","Se consulta un lote y se obtienen entradas, movimientos y salidas relacionadas; el sistema genera lista de bodegas y clientes impactados; cada acción de retiro queda documentada.",Alta,UC-40 Ejecutar recall
FR-041,"Reempaque, desempaque y conversión de presentaciones","El sistema debe soportar operaciones de reempaque, desempaque o fraccionamiento de inventario entre presentaciones autorizadas, conservando trazabilidad y costos.",Auxiliar de bodega; Jefe de inventarios; Calidad,La conversión solo puede hacerse con configuraciones aprobadas; debe conservar o regenerar lote según política; la suma del inventario resultante debe ser consistente con el origen.,Se convierte caja a unidades o viceversa según configuración; el sistema actualiza stock de origen y destino sin pérdida de trazabilidad; queda documento con cantidades y responsable.,Media,UC-41 Reempacar-desempacar
FR-042,Etiquetado interno y códigos de barras o QR,"El sistema debe generar e imprimir etiquetas internas para producto, lote, ubicación, traslado o devolución con código de barras o QR.",Auxiliar de bodega; Calidad; Despacho,"La etiqueta debe mostrar como mínimo SKU, descripción, lote, fecha de vencimiento, bodega o ubicación y estado cuando aplique; no debe inducir a error ni duplicar identificadores activos.","Se imprime una etiqueta desde ingreso, traslado o reempaque; el escaneo recupera el lote correcto; la etiqueta refleja datos vigentes al momento de impresión.",Media,UC-42 Imprimir etiqueta; UC-55 Operar desde móvil
FR-043,Gestión documental de soportes operativos,"El sistema debe adjuntar y consultar soportes como órdenes, remisiones, facturas, registros de temperatura, fotografías, actas e inspecciones.",Compras; Calidad; Auxiliar de bodega; Contabilidad; Auditor interno,"Cada documento debe asociarse a entidad y transacción; los soportes deben conservarse con metadatos mínimos de fecha, tipo, vigencia y responsable de carga.",Se pueden adjuntar uno o varios archivos a una transacción; los documentos se pueden consultar desde la ficha del movimiento; el sistema mantiene historial de versiones si se reemplaza un archivo.,Alta,UC-43 Adjuntar soporte
FR-044,"Gestión de registros, permisos y notificaciones sanitarias","El sistema debe registrar para cada producto o referencia regulada su Notificación Sanitaria, Permiso Sanitario o Registro Sanitario, número, titular, vigencia y renovaciones.",Calidad; Compras; Administrador del sistema,"Todo alimento que se expenda directamente al consumidor y esté obligado debe tener NSA, PSA o RSA según riesgo; el sistema debe controlar vencimiento y renovación: RSA 5 años, PSA 7 años y NSA 10 años; debe alertar renovación con al menos tres meses de anticipación.","Se puede registrar el documento sanitario por SKU; el sistema alerta próximos vencimientos; no permite despachar o comprar productos obligados sin soporte vigente, según política configurada.",Alta,UC-44 Gestionar RSA-PSA-NSA
FR-045,Validación de rotulado y etiquetado aplicable,"El sistema debe almacenar y validar reglas de rotulado para productos envasados o empacados, incluyendo información comercial, lote y advertencias nutricionales cuando aplique.",Calidad; Compras; Despacho,"Si el producto es envasado para consumidor final, su ficha debe marcar si le aplica rotulado nutricional y frontal; no debe liberarse una presentación sin la validación documental del rotulado exigible.",La ficha del producto indica si el rotulado fue validado; el sistema bloquea nuevas altas comerciales sin estado documental definido; el reporte identifica referencias pendientes de validación.,Media,UC-45 Validar rotulado
FR-046,Integración con facturación electrónica o documento equivalente,"El sistema debe integrarse con el software de facturación electrónica o emitir eventos necesarios para soportar facturas, notas crédito, notas débito y documentos equivalentes cuando la operación lo requiera.",Contabilidad; Ventas/Despacho; Administrador del sistema,"Si el sistema emite o transmite documentos tributarios, debe ajustarse a los anexos y reglas vigentes de la DIAN; las devoluciones comerciales deben poder originar nota crédito o ajuste.",Un despacho comercial genera la información necesaria para facturar; una devolución comercial puede generar reversión o nota crédito; los errores de integración quedan en cola y con estado trazable.,Media,UC-46 Emitir factura o integrar DIAN
FR-047,Exportación contable y conciliación con ERP,"El sistema debe exportar o integrar movimientos valorizados, compras, ajustes, devoluciones y mermas hacia contabilidad o ERP.",Contabilidad; Administrador del sistema; Gerencia,"Toda interfaz debe ser conciliable por documento, fecha, tercero y centro de costo si aplica; no deben duplicarse asientos por reenvíos.","El sistema genera archivo o API con movimientos aprobados; cada envío tiene estado pendiente, exitoso o fallido; la conciliación permite identificar diferencias entre inventario y contabilidad.",Alta,UC-47 Exportar contabilidad; UC-54 Consumir API
FR-048,Dashboard operativo y KPI,"El sistema debe mostrar indicadores como stock por bodega, rotación, quiebres, próximos a vencer, mermas, exactitud de inventario y cumplimiento de recepción y despacho.",Gerencia; Jefe de inventarios; Compras; Calidad,"Los indicadores deben actualizarse con información confirmada; cada KPI debe tener definición única y filtros por bodega, categoría, producto y periodo.",El usuario visualiza tablero con filtros; los valores coinciden con los reportes base; los KPI pueden exportarse a Excel o PDF.,Media,UC-48 Ver dashboard
FR-049,"Reportes operativos, sanitarios y gerenciales","El sistema debe generar reportes detallados y consolidados de existencias, kardex, compras, recepciones, traslados, vencimientos, devoluciones, mermas y trazabilidad por lote.",Gerencia; Jefe de inventarios; Calidad; Compras; Contabilidad; Auditor interno,"Los reportes deben poder filtrarse por periodo, bodega, categoría, producto, proveedor, cliente, lote y estado; deben respetar permisos de acceso.",Los reportes pueden visualizarse y exportarse; el resultado coincide con el inventario base; un usuario solo ve datos de sus bodegas autorizadas.,Alta,UC-49 Generar reporte
FR-050,Alertas y notificaciones automáticas,"El sistema debe generar alertas por quiebre, sobrestock, documentos por vencer, lotes próximos a vencer, diferencias de conteo, recepciones pendientes y fallas de integración.",Gerencia; Jefe de inventarios; Compras; Calidad; Supervisor logístico,"Las alertas deben ser parametrizables por criticidad, destinatario, canal y periodicidad; las alertas críticas deben requerir acuse o seguimiento.",Se configura una regla de alerta y se dispara al cumplirse la condición; el destinatario recibe notificación interna o por correo según configuración; la alerta puede marcarse como atendida.,Alta,UC-50 Configurar alertas
FR-051,Conservación documental y archivo histórico,"El sistema debe conservar documentos, comprobantes, kardex y soportes históricos, con capacidad de consulta y archivo por el tiempo exigido por la política y la norma aplicable.",Administrador del sistema; Contabilidad; Auditor interno; Gerencia,"Los libros, papeles contables, comprobantes y soportes asociados deben conservarse como mínimo por diez años; cualquier archivado debe preservar legibilidad y reproducción exacta.",Los documentos históricos siguen consultables por criterios de búsqueda; el sistema distingue activo vs archivado sin pérdida de acceso autorizado; los soportes exportados conservan integridad y metadatos.,Alta,UC-51 Archivar documentos
FR-052,Protección de datos personales y acceso restringido,"El sistema debe proteger los datos personales de contactos de proveedores, clientes, conductores y empleados mediante controles de autorización, confidencialidad y seguridad.",Administrador del sistema; Jurídica/Compliance; Compras; Despacho; Contabilidad,"El tratamiento de datos personales debe registrar finalidad, acceso restringido, medidas de seguridad y atención de consultas o reclamos; la información no pública no debe quedar expuesta masivamente.",Los campos sensibles o personales solo son visibles para perfiles autorizados; existe trazabilidad de consulta y cambio de datos; el sistema permite atender solicitudes de actualización o supresión cuando proceda.,Alta,UC-52 Atender solicitud de datos personales
FR-053,Aprobaciones y segregación de funciones para movimientos críticos,"El sistema debe manejar flujos de aprobación para ajustes, mermas, bloqueos, desbloqueos, devoluciones, traslados y cierres de inventario según monto o riesgo.",Gerencia; Jefe de inventarios; Calidad; Contabilidad; Auditor interno,La política debe definir umbrales y aprobadores; quien crea una transacción crítica no puede autoaprobarla cuando la segregación de funciones lo prohíba.,Un ajuste sobre el umbral configurado pasa a estado pendiente de aprobación; solo el aprobador autorizado puede confirmarlo; toda aprobación deja sello de tiempo y usuario.,Alta,UC-53 Aprobar movimiento crítico
